DN,TH,COR,geometry,X,Y
0,17.704612731933594,0,POINT Z (759912.726765669 3980764.658032308 2658.083251953125),759912.726765669,3980764.658032308
1,21.777099609375,0,POINT Z (759921.226765669 3980762.658032308 2658.39111328125),759921.226765669,3980762.658032308
2,19.771099090576172,0,POINT Z (759931.726765669 3980760.158032308 2660.51123046875),759931.726765669,3980760.158032308
3,22.000200271606445,0,POINT Z (759918.726765669 3980757.158032308 2658.048095703125),759918.726765669,3980757.158032308
4,18.497100830078125,2,POINT Z (759907.3267656689 3980756.358032308 2657.258056640625),759907.3267656689,3980756.358032308
5,18.497100830078125,0,POINT (759904.226765669 3980754.658032308),759904.226765669,3980754.658032308
6,15.635968208312988,2,POINT Z (759907.7553370976 3980751.215175165 2657.67431640625),759907.7553370976,3980751.215175165
7,20.551700592041016,0,POINT Z (759924.226765669 3980751.658032308 2660.0576171875),759924.226765669,3980751.658032308
8,18.583599090576172,0,POINT Z (759936.226765669 3980751.658032308 2661.740966796875),759936.226765669,3980751.658032308
9,16.989606857299805,0,POINT Z (759943.226765669 3980751.158032308 2664.58203125),759943.226765669,3980751.158032308
10,16.19300079345703,0,POINT Z (759949.226765669 3980747.658032308 2669.173828125),759949.226765669,3980747.658032308
11,20.081378936767578,0,POINT Z (759916.226765669 3980746.158032308 2660.1474609375),759916.226765669,3980746.158032308
12,16.965099334716797,0,POINT Z (759942.226765669 3980745.658032308 2667.48486328125),759942.226765669,3980745.658032308
13,16.2180233001709,0,POINT Z (759940.226765669 3980739.658032308 2667.845703125),759940.226765669,3980739.658032308
14,20.574871063232422,0,POINT (759896.5600977307 3980737.658032308),759896.5600977307,3980737.658032308
15,16.180500030517578,0,POINT Z (759946.226765669 3980738.158032308 2671.382080078125),759946.226765669,3980738.158032308
16,20.19230079650879,0,POINT Z (759926.226765669 3980734.658032308 2663.71337890625),759926.226765669,3980734.658032308
17,20.55707550048828,0,POINT Z (759919.726765669 3980732.658032308 2661.003662109375),759919.726765669,3980732.658032308
18,22.470687866210938,0,POINT Z (759906.5600977307 3980729.324700246 2655.6298828125),759906.5600977307,3980729.324700246
19,16.646400451660156,0,POINT Z (759939.726765669 3980724.658032308 2667.82421875),759939.726765669,3980724.658032308
20,23.18327522277832,0,POINT Z (759889.026764906 3980722.658032308 2647.50341796875),759889.026764906,3980722.658032308
21,19.992399215698242,0,POINT Z (759925.726765669 3980720.658032308 2663.77490234375),759925.726765669,3980720.658032308
22,23.27280044555664,0,POINT Z (759902.226765669 3980719.658032308 2652.90673828125),759902.226765669,3980719.658032308
23,20.134000778198242,0,POINT Z (759917.226765669 3980718.658032308 2659.745361328125),759917.226765669,3980718.658032308
24,21.420400619506836,0,POINT Z (759894.226765669 3980715.658032308 2647.194580078125),759894.226765669,3980715.658032308
25,22.933900833129883,0,POINT Z (759899.726765669 3980711.158032308 2649.355712890625),759899.726765669,3980711.158032308
26,22.32670021057129,0,POINT Z (759921.226765669 3980709.658032308 2660.22412109375),759921.226765669,3980709.658032308
27,15.051899909973145,0,POINT Z (759973.226765669 3980709.658032308 2679.555908203125),759973.226765669,3980709.658032308
28,19.935100555419922,0,POINT Z (759955.726765669 3980706.158032308 2672.217041015625),759955.726765669,3980706.158032308
29,24.62744140625,0,POINT Z (759910.726765669 3980705.658032308 2653.39208984375),759910.726765669,3980705.658032308
30,21.3794002532959,0,POINT Z (759941.726765669 3980703.658032308 2668.11669921875),759941.726765669,3980703.658032308
31,17.887174606323242,0,POINT Z (759873.226765669 3980700.658032308 2646.09765625),759873.226765669,3980700.658032308
32,25.607799530029297,0,POINT Z (759904.226765669 3980701.158032308 2648.798828125),759904.226765669,3980701.158032308
33,19.438486099243164,0,POINT Z (759964.226765669 3980701.158032308 2675.3779296875),759964.226765669,3980701.158032308
34,15.464812278747559,0,POINT Z (759883.226765669 3980699.658032308 2645.042236328125),759883.226765669,3980699.658032308
35,24.881000518798828,0,POINT Z (759912.226765669 3980696.658032308 2651.8662109375),759912.226765669,3980696.658032308
36,23.11989974975586,0,POINT Z (759879.5600996381 3980692.3246964314 2646.94970703125),759879.5600996381,3980692.3246964314
37,22.720399856567383,0,POINT Z (759903.5600977307 3980690.9913681843 2649.234375),759903.5600977307,3980690.9913681843
38,16.728466033935547,0,POINT Z (759864.976765669 3980689.658032308 2654.464599609375),759864.976765669,3980689.658032308
39,20.770200729370117,0,POINT Z (759930.6267671948 3980689.858029256 2660.203125),759930.6267671948,3980689.858029256
40,20.42289924621582,0,POINT Z (759937.226765669 3980690.158032308 2662.4287109375),759937.226765669,3980690.158032308
41,24.164899826049805,0,POINT Z (759885.726765669 3980688.658032308 2647.35400390625),759885.726765669,3980688.658032308
42,24.537500381469727,0,POINT Z (759945.726765669 3980688.158032308 2665.934814453125),759945.726765669,3980688.158032308
43,23.122299194335938,2,POINT Z (759954.126765669 3980685.9580323077 2669.54052734375),759954.126765669,3980685.9580323077
44,19.987899780273438,0,POINT Z (760024.226765669 3980684.658032308 2694.151123046875),760024.226765669,3980684.658032308
45,22.42885971069336,0,POINT Z (759984.226765669 3980683.658032308 2681.259765625),759984.226765669,3980683.658032308
46,25.347299575805664,0,POINT Z (759913.226765669 3980682.658032308 2652.9365234375),759913.226765669,3980682.658032308
47,23.930599212646484,0,POINT Z (759921.226765669 3980682.658032308 2655.467529296875),759921.226765669,3980682.658032308
48,22.44632911682129,0,POINT Z (759999.8934374219 3980682.3246964314 2686.87109375),759999.8934374219,3980682.3246964314
49,22.493000030517578,0,POINT Z (760006.226765669 3980682.158032308 2688.5693359375),760006.226765669,3980682.158032308
50,25.97450065612793,0,POINT Z (759895.226765669 3980681.658032308 2648.31884765625),759895.226765669,3980681.658032308
51,21.069400787353516,0,POINT Z (759968.226765669 3980681.158032308 2675.793701171875),759968.226765669,3980681.158032308
52,26.311819076538086,0,POINT Z (759905.226765669 3980678.658032308 2651.581298828125),759905.226765669,3980678.658032308
53,23.05739974975586,0,POINT Z (760013.726765669 3980678.158032308 2691.83642578125),760013.726765669,3980678.158032308
54,22.981000900268555,0,POINT Z (760019.8934374219 3980676.9913681843 2694.095703125),760019.8934374219,3980676.9913681843
55,23.048999786376953,0,POINT Z (759946.226765669 3980676.158032308 2667.973876953125),759946.226765669,3980676.158032308
56,23.326200485229492,0,POINT Z (759927.226765669 3980675.658032308 2658.28076171875),759927.226765669,3980675.658032308
57,22.956270217895508,0,POINT Z (759975.476765669 3980675.408032308 2679.157470703125),759975.476765669,3980675.408032308
58,25.01219940185547,0,POINT Z (759931.726765669 3980669.658032308 2660.041015625),759931.726765669,3980669.658032308
59,25.87126350402832,0,POINT Z (759898.226765669 3980667.658032308 2655.870361328125),759898.226765669,3980667.658032308
60,24.36370086669922,0,POINT Z (759942.226765669 3980664.658032308 2663.999267578125),759942.226765669,3980664.658032308
61,24.90220069885254,0,POINT Z (759949.226765669 3980662.158032308 2666.737548828125),759949.226765669,3980662.158032308
62,25.452199935913086,0,POINT Z (759957.226765669 3980662.658032308 2671.017578125),759957.226765669,3980662.658032308
63,25.012300491333008,0,POINT Z (759966.226765669 3980661.658032308 2674.0185546875),759966.226765669,3980661.658032308
64,25.269899368286133,0,POINT Z (759905.226765669 3980660.658032308 2657.404541015625),759905.226765669,3980660.658032308
65,21.104900360107422,0,POINT Z (760054.226765669 3980660.658032308 2706.974365234375),760054.226765669,3980660.658032308
66,24.28030014038086,0,POINT Z (759935.726765669 3980658.658032308 2662.195068359375),759935.726765669,3980658.658032308
67,20.881500244140625,0,POINT Z (759866.226765669 3980657.158032308 2671.693603515625),759866.226765669,3980657.158032308
68,21.588300704956055,0,POINT Z (759882.226765669 3980657.658032308 2668.4013671875),759882.226765669,3980657.658032308
